"ACELERAÇÃO DE ESTUDOS","ACELERAÇÃO DE ESTUDOS"
"SEB - Pró-letramento","PRÓ-LETRAMENTO"
"SEB - Rede de FormaÃ§Ã£o","REDE DE FORMAÇÃO - SEB"
"SEB - Rede de Formação","REDE DE FORMAÇÃO - SEB"
"SEB -  REDE DE FORMAÇÃO","REDE DE FORMAÇÃO - SEB"
"SEB - REDE DE FORMAÇÃO","REDE DE FORMAÇÃO - SEB"
"SEB - Rede de Formação/Aperfeiçoamento e componentes curriculares.","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO"
"SEB - REDE DE FORMAÇÃO/APERFEIÇOAMENTO NA ÁREA DE ARTES E ED. FÍSICA","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - ARTES E EDUCAÇÃO FÍSICA"
"SEB - Rede de Formação / Aperfeiçoamento para os professores que atuam na educação especial, nas escolas do campo, nas comunidades quilombolas e nas comunidades indígenas.","SEB - REDE DE FORMAÇAO APERF PARA PROF ED ESP/ESC CAMPO/COM QUIL / COM"
"SEB- REDE DE FORMAÇÃO/APERFEIÇOAMENTO PARA PROFESSORES DA EDUCAÇÃO ESP","SEB - REDE DE FORMAÇAO APERF PARA PROF ED ESP/ESC CAMPO/COM QUIL / COM"
"SEB - Rede de Formação/Aperfeiçoamento Prof. crianças de 6 anos.","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - PROFESSORES ANOS INICIAIS E.F."
"SEB - Rede de Formação/Aperf. em Alfab e Letramento e Educ Matematica","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - ALF. E LET. E EDUC. MATEMÁTICA"
"SEB - Rede de Formação/Aperf na área de Alfabetização e Linguagem","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - ALFABETIZAÇÃO E LINGUAGEM"
"SEB-Rede de Formação/Aperf. na área de Artes e Educ. Física","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - ARTES E EDUCAÇÃO FÍSICA"
"SEB-Rede de Formação/Aperf na área de Ciências Humanas e Sociais","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - CIÊNCIAS HUMANAS E SOCIAIS"
"SEB-Rede de Formação/Aperf. na área de Educ Matemática e Científica","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - EDUC. MATEMÁTICA E CIENTÍFICA"
"SEB - REDE DE FORMAÇAO APERF PARA PROF ED ESP/ESC CAMPO/COM QUIL / COM","SEB - REDE DE FORMAÇAO APERF PARA PROF ED ESP/ESC CAMPO/COM QUIL / COM"
"SEB - Rede de formação/ Cursos para Coord e/ou Superv pedagógicos.","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - COORDENADORES E SUPERVISORES PEDAGÓGICOS"
"SEB- REDE DE FORMAÇÃO E FNDE - ESCOLA  ATIVA","ESCOLA ATIVA"
"SEB - Rede de Formação/Espec na área de Educ Matemática e Científica","REDE DE FORMAÇÃO - SEB - ESPECIALIZAÇÃO - EDUC. MATEMÁTICA E CIENTÍFICA"
"SEB - Rede de Formação/Espec. para os prof. anos/séries inc do EF","REDE DE FORMAÇÃO - SEB - ESPECIALIZAÇÃO - PROFESSORES ANOS INICIAIS E.F."
"SEB - Rede de Formação/Esp. na área de Artes e Educ Física","REDE DE FORMAÇÃO - SEB - ESPECIALIZAÇÃO - ARTES E EDUCAÇÃO FÍSICA"
